2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-21/16:16:08		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-21/16:16:09		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-21/16:16:09		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-21/16:16:09		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-21/16:16:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-21/16:16:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-21/16:16:12		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-21/16:16:13		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-21/16:16:13		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-21/16:19:26		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-21/16:19:27		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-21/16:19:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-21/16:19:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-21/16:19:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-21/16:19:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-21/16:19:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-21/16:19:30		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-21/16:19:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-21/16:20:28		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-21/16:20:29		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-21/16:20:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-21/16:20:30		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-21/16:20:31		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-21/16:20:31		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-21/16:20:32		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-21/16:20:32		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-21/16:20:33		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-21/18:16:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-21/18:16:26		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-21/18:16:26		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-21/18:16:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-21/18:16:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-21/18:16:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-21/18:16:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-21/18:16:31		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-21/18:16:31		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-21/18:18:33		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-21/18:18:33		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-21/18:18:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-21/18:18:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-21/18:18:35		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-21/18:18:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-21/18:18:36		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-21/18:18:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-21/18:18:37		 wafer_29012020_050617.csv: File Transformed successfully!!
